Name,Number_of_Ratings,Rating,Longitude,Latitude,Category
Medical Resources Pharmacy,43.0,3.8,46.806478,24.7537979,pharmacies
صيدلية الجازع,45.0,3.4,46.6608118,24.7653345,pharmacies
صيدلية النهدي,55.0,3.3,46.611843,24.632031,pharmacies
Kayan Care Pharmacy | صيدلية كيان كير ‎,46.0,3.0,46.8012044,24.6849429,pharmacies
صيدلية اورنج,61.0,4.2,46.7741397,24.5939738,pharmacies
Gulf vet,38.0,3.7,46.8499282,24.8609366,pharmacies
صيدلية ليمون,27.0,3.3,46.6436567,24.6881616,pharmacies
PLUS ONE PHARMACY,5.0,4.0,46.7131343,24.6672563,pharmacies
صيدلية انوفا,7.0,4.0,46.8215718,24.6841713,pharmacies
صيدلية ليمون,49.0,3.8,46.8501341,24.729182,pharmacies
صيدلية ليمون,61.0,3.1,46.78842909999999,24.7471119,pharmacies
صيدلية الدواء,35.0,4.2,46.8318379,24.7672085,pharmacies
صيدلية الجازع,31.0,3.8,46.57307609999999,24.7509877,pharmacies
صيدلية انوفا,23.0,4.4,46.7630225,24.7754041,pharmacies
صيدلية اورنج,58.0,4.1,46.740844,24.7981755,pharmacies
صيدلية الشافي,38.0,4.4,46.8767916,24.809606,pharmacies
صيدلية زهرة الروضة,11.0,4.1,46.7486389,24.8124167,pharmacies
صيدلية قطرات الشفاء,13.0,4.1,46.682581,24.8040642,pharmacies
Rami pharmacy,40.0,4.7,46.7601914,24.5620344,pharmacies
Radan Pharmacy,804.0,4.5,46.6503381,24.8025325,pharmacies
صيدلية المتحدة,53.0,3.9,46.707594,24.7371471,pharmacies
صيدلية الدواء,38.0,3.2,46.8059496,24.7998258,pharmacies
صيدلية ليمون,34.0,3.4,46.7328499,24.7964535,pharmacies
صيدلية يوم الدواء,30.0,4.1,46.7964946,24.6910929,pharmacies
صيدلية ليمون,11.0,2.8,46.679313,24.7047899,pharmacies
صيدلية دواء المنصورة,6.0,4.3,46.76850779999999,24.5710463,pharmacies
صيدلية شمس,31.0,3.7,46.6434137,24.8633108,pharmacies
صيدلية صفوة المدائن,7.0,3.7,46.7934585,24.5704505,pharmacies
Like pharmacy,9.0,4.2,46.8580993,24.5539533,pharmacies
صيدلية د.سليمان الحبيب,621.0,3.8,46.7740537,24.7216648,pharmacies
Aster PharmacyTrio | صيدلية استرتريو,11.0,4.4,46.7407644,24.7899044,pharmacies
صيدلية المستوصف الملز الطبي,24.0,2.9,46.7397248,24.6771433,pharmacies
صيدلية ليمون,16.0,3.4,46.688958,24.7275573,pharmacies
صيدلية الدواء,58.0,4.2,46.6163715,24.6333209,pharmacies
صيدلية أريج الزهور,5.0,3.6,46.8079399,24.7658458,pharmacies
صيدلية الدواء,71.0,3.5,46.8165133,24.7552979,pharmacies
صيدلية اورانج,42.0,3.9,46.77180380000001,24.7351976,pharmacies
صيدلية لمسات الخليج,27.0,4.9,46.8797224,24.838459,pharmacies
صيدلية الدواء,81.0,3.8,46.780515,24.825936,pharmacies
Charisma Pharmacy,20.0,3.8,46.5933989,24.60137,pharmacies
صيدلية مجمع البستان الطبي,33.0,4.4,46.7109343,24.5884834,pharmacies
Green Health Pharmacy,16.0,4.1,46.5824504,24.6858546,pharmacies
صيدلية وايتس,19.0,4.0,46.6610178,24.7143679,pharmacies
صيدلية النهدي,170.0,4.4,46.7492027,24.5757797,pharmacies
صيدلية انوفا,42.0,3.8,46.7584161,24.6238921,pharmacies
sumu care pharmacy,11.0,3.6,46.593861,24.8092261,pharmacies
